Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Other,2016Q4,0.0,VRTU,0.1176,0,AXA-VRTU-NASDAQ-Other
AXA,NASDAQ,Other,2017Q1,0.0,CDRG,0.2206,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2017Q1,0.0,CFCO,0.0872,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2017Q1,0.0,G1ES,0.2418,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2017Q1,0.0,SGMA,0.2688,0,AXA-SGMA-NASDAQ-Other
AXA,NASDAQ,Other,2017Q1,0.0,VRTU,0.1301,0,AXA-VRTU-NASDAQ-Other
AXA,NASDAQ,Other,2017Q2,0.0,CDRG,0.2594,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2017Q2,0.0,G1ES,0.1994,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2017Q2,0.0,SGMA,0.3206,0,AXA-SGMA-NASDAQ-Other
AXA,NASDAQ,Other,2017Q2,0.0,VRTU,0.1113,0,AXA-VRTU-NASDAQ-Other
AXA,NASDAQ,Other,2017Q3,0.0,CDRG,0.2874,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2017Q3,0.0,CFCO,0.0591,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2017Q3,0.0,G1ES,0.2006,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2017Q3,0.0,SGMA,0.2865,0,AXA-SGMA-NASDAQ-Other
